provider,region,gpu_model,type,duration,gpu_count,price_hourly_usd,source_url,fetched_at_utc
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 16:29:58
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 16:29:58
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 16:44:52
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 16:44:52
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 16:52:51
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 16:52:51
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 17:00:45
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 17:00:45
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 17:08:40
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 17:08:40
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 17:20:17
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 17:20:17
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 17:29:20
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 17:29:20
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 19:20:46
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 19:20:46
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-10 20:22:37
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-10 20:22:37
SFCompute,US,H200,On-Demand,1h,1,1.38,https://www.sfcompute.com,2025-09-11 01:30:10
SFCompute,US,H200,On-Demand,1h,1,1.41,https://www.sfcompute.com,2025-09-11 01:30:10
SFCompute,US,H200,On-Demand,1h,1,1.39,https://www.sfcompute.com,2025-09-11 04:25:27
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-11 08:27:42
SFCompute,US,H200,On-Demand,1h,1,1.36,https://www.sfcompute.com,2025-09-11 08:27:42
SFCompute,US,H200,On-Demand,1h,1,1.35,https://www.sfcompute.com,2025-09-11 12:41:18
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-11 12:41:18
SFCompute,US,H200,On-Demand,1h,1,1.35,https://www.sfcompute.com,2025-09-11 16:27:19
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-11 16:27:19
SFCompute,US,H200,On-Demand,1h,1,1.39,https://www.sfcompute.com,2025-09-11 20:21:07
SFCompute,US,H200,On-Demand,1h,1,1.35,https://www.sfcompute.com,2025-09-11 20:21:07
SFCompute,US,H200,On-Demand,1h,1,1.35,https://www.sfcompute.com,2025-09-12 01:26:56
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-12 01:26:56
SFCompute,US,H200,On-Demand,1h,1,1.35,https://www.sfcompute.com,2025-09-12 04:25:13
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-12 04:25:13
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-12 08:26:44
SFCompute,US,H200,On-Demand,1h,1,1.35,https://www.sfcompute.com,2025-09-12 08:26:44
SFCompute,US,H200,On-Demand,1h,1,1.4,https://www.sfcompute.com,2025-09-12 12:41:09
